Potion,High,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,Cycle 4 Weak
Firesand,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing,Cycle 6 Weak
Wooden Chair,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing,Cycle 7 Weak
Grilled Clam,Average,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing,Cycle 6 Weak
Necklace,Low,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None,Cycle 7 Strong
Coral Ring,Average,Insufficient,Decreasing,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Weak
Barbut,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None,Cycle 7 Strong
Macuahuitl,Very High,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Strong
Sauerkraut,Average,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing,Cycle 7 Weak
Baked Pumpkin,Low,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,Cycle 5 Weak
Tunic,Average,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,Cycle 4 Weak
Culinary Knife,Average,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,Cycle 3 Strong
Brush,Low,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,Cycle 4 Strong
Boiled Egg,High,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting,Cycle 3 Weak
Hora,High,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,Cycle 5 Strong
Earrings,High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing,Cycle 6 Strong
Butter,High,Insufficient,Decreasing,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Weak
Brick Counter,High,Insufficient,Decreasing,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Weak
Bronze Sheep,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing,Cycle 6 Strong
Growth Formula,Average,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,Cycle 4 Weak
Garnet Rapier,Low,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None,Cycle 7 Strong
Spruce Round Shield,Low,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing,Cycle 6 Strong
Shark Oil,Average,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting,Cycle 3 Weak
Silver Ear Cuffs,High,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting,Cycle 3 Weak
Sweet Popoto,Very High,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting,Cycle 3 Weak
Parsnip Salad,Very High,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,Cycle 3 Strong
Caramels,Average,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing,Cycle 6 Strong
Ribbon,High,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing,Cycle 6 Weak
Rope,Average,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,Cycle 5 Strong
Cavalier's Hat,Average,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,Cycle 4 Weak
Horn,Low,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing,Cycle 7 Weak
Salt Cod,High,Insufficient,Plummeting,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Weak
Squid Ink,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None,Cycle 7 Strong
Essential Draught,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing,Cycle 7 Weak
Jam,High,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Strong
Tomato Relish,Average,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Strong
Onion Soup,Average,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,Cycle 4 Strong
Pie,Average,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,Cycle 5 Weak
Corn Flakes,High,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,,Sufficient,None,Cycle 2 Strong
Pickled Radish,High,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,Cycle 5 Weak
Iron Axe,Very High,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,Cycle 4 Strong
Quartz Ring,Average,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,Cycle 3 Strong
Porcelain Vase,Low,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,Cycle 5 Strong
Vegetable Juice,Average,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,Cycle 5 Strong
Pumpkin Pudding,High,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,Cycle 5 Weak
Sheepfluff Rug,High,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing,Cycle 6 Weak
Garden Scythe,High,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,Cycle 3 Strong
Bed,Low,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,Cycle 4 Strong
Scale Fingers,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None,Cycle 7 Strong
Crook,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing,Cycle 7 Weak
