Isleworks Potion,High,Sufficient,None,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,,,0,Cycle5Strong
Isleworks Firesand,Very High,Sufficient,None,0,Sufficient,None,9,Sufficient,Increasing,0,Sufficient,Increasing,0,Surplus,Plummeting,0,,,0,Cycle4Weak
Isleworks Wooden Chair,Average,Sufficient,None,0,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,,,0,Cycle4Weak
Isleworks Grilled Clam,Average,Sufficient,None,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,,,0,Cycle5Weak
Isleworks Necklace,Very High,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Skyrocketing,0,Insufficient,Skyrocketing,0,,,0,Cycle6Strong
Isleworks Coral Ring,Low,Sufficient,None,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,,,0,Cycle5Weak
Isleworks Barbut,Average,Sufficient,None,0,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,,,0,Cycle4Weak
Isleworks Macuahuitl,High,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,,,0,Cycle2Strong
Isleworks Sauerkraut,Low,Sufficient,Plummeting,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Increasing,0,Sufficient,Increasing,0,,,0,Cycle7Weak
Isleworks Baked Pumpkin,Average,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,,,0,Cycle2Strong
Isleworks Tunic,High,Sufficient,None,0,Insufficient,None,0,Sufficient,Decreasing,0,Sufficient,Increasing,0,Insufficient,Increasing,0,,,0,Cycle6Weak
Isleworks Culinary Knife,Average,Sufficient,Plummeting,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,3,Sufficient,Plummeting,0,Sufficient,None,0,,,0,Cycle3Strong
Isleworks Brush,Very High,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Increasing,0,Sufficient,Increasing,0,,,0,Cycle7Weak
Isleworks Boiled Egg,Very High,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,12,Surplus,Plummeting,0,Surplus,None,0,,,0,Cycle3Strong
Isleworks Hora,High,Sufficient,Plummeting,0,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,Sufficient,None,0,,,0,Cycle3Weak
Isleworks Earrings,High,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,Skyrocketing,0,,,9,Cycle7Strong
Isleworks Butter,Low,Sufficient,None,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,,,0,Cycle5Weak
Isleworks Brick Counter,Average,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,,,0,Cycle4Strong
Bronze Sheep,Average,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,Skyrocketing,0,,,0,Cycle7Strong
Isleworks Growth Formula,Very High,Insufficient,Increasing,0,Insufficient,Increasing,12,Surplus,Plummeting,0,Surplus,None,0,Surplus,None,0,,,0,Cycle2Weak
Isleworks Garnet Rapier,Low,Sufficient,Plummeting,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,Skyrocketing,0,,,0,Cycle7Strong
Isleworks Spruce Round Shield,High,Sufficient,Plummeting,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,Skyrocketing,0,,,0,Cycle7Strong
Isleworks Shark Oil,High,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Increasing,0,Sufficient,Increasing,0,,,0,Cycle7Weak
Isleworks Silver Ear Cuffs,Low,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,,,0,Cycle4Strong
Isleworks Sweet Popoto,High,Sufficient,None,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,,,0,Cycle5Strong
Isleworks Parsnip Salad,Low,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,Sufficient,None,0,,,0,Cycle3Weak
