Isleworks Potion,Average,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing
Isleworks Firesand,High,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing
Isleworks Wooden Chair,High,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing
Isleworks Grilled Clam,Average,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting
Isleworks Necklace,High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing
Isleworks Coral Ring,Average,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,,Sufficient,None
Isleworks Barbut,Very High,Insufficient,Plummeting,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None
Isleworks Macuahuitl,Low,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting
Isleworks Sauerkraut,Low,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None
Isleworks Baked Pumpkin,Very High,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,,Sufficient,None
Isleworks Tunic,Average,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing
Isleworks Culinary Knife,High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing
Isleworks Brush,Very High,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Insufficient,Skyrocketing
Isleworks Boiled Egg,Low,Insufficient,Skyrocketing,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None
Isleworks Hora,Average,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing
Isleworks Earrings,High,Sufficient,None,,Insufficient,Skyrocketing,,Insufficient,Skyrocketing,,Surplus,Plummeting
Isleworks Butter,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing
Isleworks Brick Counter,Low,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting,,Sufficient,None
Bronze Sheep,High,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting
Isleworks Growth Formula,Average,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing
Isleworks Garnet Rapier,High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing
Isleworks Spruce Round Shield,Average,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing
Isleworks Shark Oil,Very High,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Surplus,Plummeting
Isleworks Silver Ear Cuffs,Very High,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Surplus,Plummeting,,Surplus,None
Isleworks Sweet Popoto,Average,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing
Isleworks Parsnip Salad,High,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting
Isleworks Caramels,High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None
Isleworks Ribbon,Low,Sufficient,None,24,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing
Isleworks Rope,Average,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing
Isleworks Cavalier's Hat,High,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing,,Sufficient,Plummeting
Isleworks Horn,Average,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing
Isleworks Salt Cod,Very High,Insufficient,Skyrocketing,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None
Isleworks Squid Ink,Very High,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing
Isleworks Essential Draught,Very High,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing
Isleberry Jam,Very High,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing
Isleworks Tomato Relish,High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Increasing
Isleworks Onion Soup,Low,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing
Islefish Pie,Average,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Increasing
Isleworks Corn Flakes,Average,Sufficient,None,,Sufficient,None,,Sufficient,None,,Insufficient,Skyrocketing
Isleworks Pickled Radish,Very High,Insufficient,Skyrocketing,,Insufficient,Increasing,,Sufficient,Plummeting,,Sufficient,None
Isleworks Iron Axe,High,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing
Isleworks Quartz Ring,Low,Sufficient,None,,Insufficient,Skyrocketing,,Nonexistent,Skyrocketing,,Sufficient,Plummeting
Isleworks Porcelain Vase,Average,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None
Isleworks Vegetable Juice,Average,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing
Isleworks Pumpkin Pudding,Low,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,Skyrocketing
Isleworks Sheepfluff Rug,High,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing
Isleworks Garden Scythe,High,Sufficient,None,,Sufficient,None,,Insufficient,Increasing,,Insufficient,Increasing
Isleworks Bed,Very High,Sufficient,None,,Insufficient,None,,Sufficient,Decreasing,,Sufficient,Increasing
Isleworks Scale Fingers,Average,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None
Isleworks Crook,High,Sufficient,None,,Insufficient,None,,Sufficient,Plummeting,,Sufficient,None
